,metric,DNS5,SB,MB,REC+MB,SRC+REC+MB,SSPA
1,sisdr_i,3.5719110541437797,3.387420722518214,3.49748354089207,4.290490640705522,4.2919174503441795,3.0207082697702305
2,squim_sisdr_i,5.942381367643342,5.750869496232367,5.733867202352237,5.659677440121565,5.676039743117104,5.64935919229782
3,sdr_i,3.097694649873043,2.9398332330532924,2.9341137079277813,3.128326983579997,3.1292595823583835,3.0834659387994203
4,lsd_i,1.0234697167743954,1.0167929607727586,1.041653974750308,0.9932348453576599,0.9655637738735965,0.946100844485945
5,mcd_i,1.9668308203606322,1.9397327511656008,1.9505743979041308,1.9455504381620659,1.955688361194971,1.9633304498953315
6,pesq_i,0.45856326836516065,0.4542918302260889,0.45381627608393343,0.45168921019383135,0.45371024040010144,0.43681675095681083
7,pesq2_i,0.45837081659561774,0.45416326031602516,0.45377552044431146,0.4515110929258475,0.45356957473236825,0.4366874611135279
8,squim_pesq_i,0.6148393575708698,0.5918946889699298,0.5915383231141641,0.5754524009570734,0.5800620064589498,0.5642093821450612
9,dnsmos_ovrl_i,0.5322750671173858,0.5423050211638626,0.5348980893906509,0.5361096452666494,0.5330678657534641,0.5247417953828588
10,squim_mos_i,0.7085056703842438,0.7111706428792881,0.7170235609493514,0.7030760276716209,0.7003255224214918,0.7000554652444023
11,nisqa_mos_i,0.7465824049798131,0.7452048671112739,0.7305403849275063,0.7381681403227789,0.7377038566257862,0.7521594709204387
12,stoi_i,0.06732969832509009,0.06659251996925974,0.06634455838644872,0.06412954926423377,0.06439386684036329,0.06402383859271393
13,squim_stoi_i,0.08185280340810487,0.08366380249233006,0.08424719230786981,0.08100862712746759,0.08155788467425243,0.07545597945508953
14,phonsim_i,0.14884035616934438,0.15084953568119305,0.1516416392498747,0.15140267958063053,0.1510343741236221,0.14936901643083847
15,spksim_i,0.14037684786242316,0.14317684641447165,0.1400489278546179,0.12300367556909929,0.11596468684319924,0.13998981566220747
16,sBertSim_i,0.0742707798266116,0.07409462355879849,0.07373859791489398,0.07023304203522708,0.06980583434353453,0.07180089190951153
