train_rirs,eval_rirs,model,speech,noise,rir,noisy_snr,dnsmos_ovrl_e,dnsmos_sig_e,dnsmos_bak_e,dnsmos_p808_e,squim_mos_e,squim_stoi_e,squim_pesq_e,squim_sisdr_e,nisqa_mos_e,nisqa_noi_e,nisqa_dis_e,nisqa_col_e,nisqa_loud_e,stoi_n,dnsmos_ovrl_n,dnsmos_sig_n,dnsmos_bak_n,dnsmos_p808_n,squim_mos_n,squim_stoi_n,squim_pesq_n,squim_sisdr_n,nisqa_mos_n,nisqa_noi_n,nisqa_dis_n,nisqa_col_n,nisqa_loud_n,dnsmos_ovrl_i,dnsmos_sig_i,dnsmos_bak_i,dnsmos_p808_i,squim_mos_i,squim_stoi_i,squim_pesq_i,squim_sisdr_i,nisqa_mos_i,nisqa_noi_i,nisqa_dis_i,nisqa_col_i,nisqa_loud_i
soundspaces,none_headset,D09_SSmp3d_left,Track1_Headset/noisy/A122PMN7S5SU33_F_Baby_Regular_HS_Desk_Primary_fid10.wav,,,,2.1022064027609386,3.019530970990398,2.782226808936723,2.8760748,2.972843647003174,0.8697029948234558,1.885155439376831,8.060714721679688,2.071840524673462,3.2909696102142334,2.75148344039917,2.5458223819732666,3.3339083194732666,,1.6322377211654853,2.9544487044542227,1.6573662201237511,2.8451104,2.6990914344787598,0.7350311279296875,1.1491200923919678,-5.574957370758057,0.9244789481163025,2.186655282974243,1.9591667652130127,1.788283348083496,1.9431915283203125,0.46996868159545335,0.06508226653617522,1.124860588812972,0.030964375,0.27375221252441406,0.1346718668937683,0.7360353469848633,13.635672092437744,1.1473615765571594,1.1043143272399902,0.7923166751861572,0.7575390338897705,1.390716791152954
soundspaces,none_headset,D09_SSmp3d_left,Track1_Headset/noisy/A122PMN7S5SU33_F_Baby_Regular_HS_Desk_Primary_fid824.wav,,,,2.2208773988094666,2.5079147001242523,3.518763978489898,2.6454844,2.7327027320861816,0.8752269148826599,1.7390769720077515,3.0020546913146973,1.9817252159118652,3.400575876235962,2.5113108158111572,2.420039415359497,3.2179601192474365,,1.8955082045912282,3.0267040021030054,2.0549441093447793,2.817179,2.604816436767578,0.7486532926559448,1.1341885328292847,-7.118128299713135,0.8563441634178162,2.1692955493927,2.139000415802002,1.5706346035003662,1.7873988151550293,0.3253691942182384,-0.5187893019787531,1.4638198691451185,-0.17169452,0.12788629531860352,0.1265736222267151,0.6048884391784668,10.120182991027832,1.125381052494049,1.2312803268432617,0.3723104000091553,0.8494048118591309,1.4305613040924072
soundspaces,none_headset,D09_SSmp3d_left,Track1_Headset/noisy/A122PMN7S5SU33_F_Breathing_Regular_HS_Desk_Primary_fid9.wav,,,,1.9775403672812764,2.3260679017000134,3.8736023788443177,2.682989,3.6020288467407227,0.6742291450500488,1.1716058254241943,-2.931767225265503,1.8842154741287231,3.448556661605835,3.9157721996307373,2.6720468997955322,1.597994327545166,,1.9562224311764191,2.8973238176099403,2.1210074943237083,2.7480156,2.9890599250793457,0.7148785591125488,1.1265473365783691,-6.903541088104248,1.5278130769729614,2.3893938064575195,3.2161080837249756,1.983759880065918,2.1526262760162354,0.021317936104857216,-0.5712559159099269,1.7525948845206094,-0.06502676,0.612968921661377,-0.0406494140625,0.045058488845825195,3.971773862838745,0.3564023971557617,1.0591628551483154,0.6996641159057617,0.6882870197296143,-0.5546319484710693
soundspaces,none_headset,D09_SSmp3d_left,Track1_Headset/noisy/A122PMN7S5SU33_F_Breathing_Regular_HS_Desk_Primary_fid902.wav,,,,1.9810366491240967,2.4704569418569977,3.4418673543913694,2.541912,3.6688172817230225,0.8152433633804321,1.52566397190094,5.023834705352783,1.7724460363388062,3.46160888671875,3.790576696395874,2.0818123817443848,2.0957489013671875,,1.958838660671018,2.659286820098412,2.8378705731966143,2.6768453,3.5572896003723145,0.7869053483009338,1.1699984073638916,-2.3155264854431152,1.7280791997909546,2.199941396713257,3.5985398292541504,1.8949369192123413,2.120413064956665,0.022197988453078743,-0.1888298782414144,0.6039967811947551,-0.13493323,0.11152768135070801,0.02833801507949829,0.35566556453704834,7.339361190795898,0.04436683654785156,1.2616674900054932,0.19203686714172363,0.18687546253204346,-0.02466416358947754
soundspaces,none_headset,D09_SSmp3d_left,Track1_Headset/noisy/A122PMN7S5SU33_F_Chips_Regular_HS_Desk_Primary_fid7.wav,,,,2.785158612100014,3.0973363469031594,4.090180550379111,3.0193036,3.434257984161377,0.9316689968109131,1.988664150238037,13.758702278137207,2.575463056564331,3.638275623321533,3.292560338973999,2.4066154956817627,2.761087417602539,,2.4715358683075577,3.3795731415885593,2.7944383614208306,2.8111608,3.3404619693756104,0.9241455793380737,1.3659825325012207,7.288449287414551,1.747153878211975,2.3433988094329834,2.9923107624053955,2.213437795639038,2.739711046218872,0.31362274379245614,-0.28223679468539986,1.2957421889582807,0.20814276,0.0937960147857666,0.0075234174728393555,0.6226816177368164,6.470252990722656,0.828309178352356,1.2948768138885498,0.3002495765686035,0.1931777000427246,0.021376371383666992
soundspaces,none_headset,D09_SSmp3d_left,Track1_Headset/noisy/A122PMN7S5SU33_F_Chips_Regular_HS_Desk_Primary_fid702.wav,,,,2.8437855489858594,3.149815089316303,4.023199220036931,3.078828,3.429075002670288,0.905375063419342,1.5942511558532715,11.653754234313965,2.4758312702178955,3.7976903915405273,2.781216621398926,2.2462503910064697,3.0463767051696777,,2.323711122399354,3.2449204124649094,2.6523594642515547,2.8894055,2.997152090072632,0.8953115344047546,1.2845535278320312,6.768575191497803,2.0460965633392334,3.174114942550659,2.8839333057403564,2.453524589538574,3.0139667987823486,0.5200744265865054,-0.09510532314860631,1.3708397557853762,0.1894226,0.43192291259765625,0.010063529014587402,0.30969762802124023,4.885179042816162,0.4297347068786621,0.6235754489898682,-0.10271668434143066,-0.2072741985321045,0.0324099063873291
soundspaces,none_headset,D09_SSmp3d_left,Track1_Headset/noisy/A122PMN7S5SU33_F_Chips_Regular_HS_Desk_Primary_fid8.wav,,,,2.352964874697069,2.8740018435027417,3.6682486135460746,2.974923,3.486546516418457,0.8870795369148254,1.9319730997085571,11.049695014953613,2.2295029163360596,3.532106637954712,4.057999134063721,2.4637415409088135,2.1694462299346924,,2.206466425336395,3.066856812404822,2.7633778899509807,2.7081325,2.7834315299987793,0.8571374416351318,1.2895581722259521,1.699508786201477,2.131815195083618,2.7704102993011475,3.3916690349578857,2.2334883213043213,2.7397921085357666,0.14649844936067424,-0.19285496890208043,0.9048707235950939,0.2667904,0.7031149864196777,0.029942095279693604,0.642414927482605,9.350186228752136,0.0976877212524414,0.7616963386535645,0.666330099105835,0.2302532196044922,-0.5703458786010742
soundspaces,none_headset,D09_SSmp3d_left,Track1_Headset/noisy/A122PMN7S5SU33_F_Chips_Regular_HS_Desk_Primary_fid802.wav,,,,2.382673632970035,2.6462939859250043,3.967322576454235,2.9864874,3.4574952125549316,0.8796955347061157,1.7299482822418213,8.606608390808105,2.0718796253204346,3.500678300857544,3.8436853885650635,2.1794047355651855,2.372957706451416,,2.3662272953890136,3.1223862011738626,3.059703527892928,2.785885,2.8926422595977783,0.8803789615631104,1.3379199504852295,4.5337138175964355,1.9807226657867432,3.2724263668060303,3.4662058353424072,2.1291251182556152,2.4609220027923584,0.016446337581021542,-0.47609221524885825,0.9076190485613069,0.2006023,0.5648529529571533,-0.0006834268569946289,0.3920283317565918,4.07289457321167,0.0911569595336914,0.22825193405151367,0.37747955322265625,0.05027961730957031,-0.08796429634094238
soundspaces,none_headset,D09_SSmp3d_left,Track1_Headset/noisy/A122PMN7S5SU33_F_Door_Regular_HS_Desk_Primary_fid1.wav,,,,1.9119204667694714,2.2425513467231624,3.8875795316383064,2.9045472,3.5129456520080566,0.861747145652771,1.7386562824249268,7.476462364196777,1.7499239444732666,3.567462682723999,4.2435383796691895,2.6413300037384033,1.7619521617889404,,1.7691392626314935,2.3579186723329415,2.514825993676043,2.4267879,3.464385747909546,0.8620110750198364,1.212873935699463,1.0456620454788208,1.814700722694397,2.984910249710083,3.3762779235839844,2.133880853652954,2.05877947807312,0.1427812041379779,-0.11536732560977914,1.3727535379622635,0.47775936,0.04855990409851074,-0.0002639293670654297,0.5257823467254639,6.4308003187179565,-0.06477677822113037,0.582552433013916,0.8672604560852051,0.5074491500854492,-0.2968273162841797
soundspaces,none_headset,D09_SSmp3d_left,Track1_Headset/noisy/A122PMN7S5SU33_F_Door_Regular_HS_Desk_Primary_fid2.wav,,,,2.257799600856965,2.755665039907697,3.7088108967111504,3.0255537,3.6080923080444336,0.8198904395103455,1.9559578895568848,12.637419700622559,1.6665838956832886,4.00253438949585,4.419708251953125,2.856499671936035,1.582505702972412,,2.0166540153778554,2.961550408654229,2.607966128628191,2.4583018,3.689664840698242,0.8243317604064941,1.2343651056289673,4.753915786743164,1.786227822303772,3.3108980655670166,3.890868902206421,2.1384122371673584,1.773324728012085,0.24114558547910958,-0.20588536874653185,1.1008447680829594,0.5672519,-0.0815725326538086,-0.004441320896148682,0.7215927839279175,7.8835039138793945,-0.1196439266204834,0.691636323928833,0.5288393497467041,0.7180874347686768,-0.19081902503967285
