train_rirs,eval_rirs,model,speech,noise,rir,noisy_snr,dnsmos_ovrl_e,dnsmos_sig_e,dnsmos_bak_e,dnsmos_p808_e,squim_mos_e,squim_stoi_e,squim_pesq_e,squim_sisdr_e,nisqa_mos_e,nisqa_noi_e,nisqa_dis_e,nisqa_col_e,nisqa_loud_e,stoi_n,dnsmos_ovrl_n,dnsmos_sig_n,dnsmos_bak_n,dnsmos_p808_n,squim_mos_n,squim_stoi_n,squim_pesq_n,squim_sisdr_n,nisqa_mos_n,nisqa_noi_n,nisqa_dis_n,nisqa_col_n,nisqa_loud_n,dnsmos_ovrl_i,dnsmos_sig_i,dnsmos_bak_i,dnsmos_p808_i,squim_mos_i,squim_stoi_i,squim_pesq_i,squim_sisdr_i,nisqa_mos_i,nisqa_noi_i,nisqa_dis_i,nisqa_col_i,nisqa_loud_i
soundspaces,none_speakerphone,D09_SSmp3d_left,Track2_Speakerphone/noisy/A100VV1V2XDQI7_M_Door_Near_Regular_SP_Mobile_Primary.wav,,,,3.279349975574716,3.518864462045783,4.190515482381291,3.848033,4.027851104736328,0.9695267081260681,2.509209632873535,16.836742401123047,3.1932384967803955,3.9787404537200928,3.751119613647461,3.3541901111602783,3.997206926345825,,2.599073650528159,3.3360871728845276,3.098892884277211,3.2730339,4.3456926345825195,0.9267654418945312,1.5256202220916748,4.703902244567871,2.556082010269165,3.416330337524414,3.543940305709839,2.766286849975586,3.493866205215454,0.6802763250465569,0.18277728916125557,1.0916225981040797,0.5749991,-0.3178415298461914,0.042761266231536865,0.9835894107818604,12.132840156555176,0.6371564865112305,0.5624101161956787,0.20717930793762207,0.5879032611846924,0.5033407211303711
soundspaces,none_speakerphone,D09_SSmp3d_left,Track2_Speakerphone/noisy/A100VV1V2XDQI7_M_Fan_Near_Regular_SP_Mobile_Primary.wav,,,,2.8243083979999537,3.1025033889992217,3.979711980581661,3.2892206,3.496255874633789,0.8669819831848145,1.7153363227844238,6.8608174324035645,2.1163668632507324,3.886201858520508,2.6983373165130615,1.991815209388733,2.8454887866973877,,1.3774587534358413,2.05854665574726,1.529410619409195,2.5893843,2.604588747024536,0.7326107025146484,1.1053903102874756,-3.424328088760376,1.1182059049606323,1.0943574905395508,2.991971254348755,2.567221164703369,2.4402623176574707,1.4468496445641124,1.043956733251962,2.450301361172466,0.69983625,0.8916671276092529,0.13437128067016602,0.6099460124969482,10.28514552116394,0.9981609582901001,2.791844367980957,-0.29363393783569336,-0.5754059553146362,0.405226469039917
soundspaces,none_speakerphone,D09_SSmp3d_left,Track2_Speakerphone/noisy/A100VV1V2XDQI7_M_InsideCar_Near_Regular_SP_Mobile_Primary.wav,,,,3.0449084928950074,3.41527315608176,3.8695252479215334,3.9464524,4.516319274902344,0.9595691561698914,2.9435629844665527,13.873335838317871,3.851363182067871,3.892282485961914,4.524069309234619,3.99950909614563,4.358837604522705,,2.1623476374060187,3.2970914018259454,2.162004974230338,2.818695,3.356616497039795,0.9566999077796936,2.2004799842834473,17.61019515991211,2.674548625946045,2.057053327560425,4.309429168701172,3.5933732986450195,3.193303108215332,0.8825608554889888,0.11818175425581456,1.7075202736911952,1.1277573,1.1597027778625488,0.002869248390197754,0.7430830001831055,-3.7368593215942383,1.1768145561218262,1.8352291584014893,0.21464014053344727,0.40613579750061035,1.165534496307373
soundspaces,none_speakerphone,D09_SSmp3d_left,Track2_Speakerphone/noisy/A100VV1V2XDQI7_M_Street_Near_Regular_SP_Mobile_Primary.wav,,,,2.9850663234352304,3.3421768070652242,3.8673267474882094,4.0815673,4.240847110748291,0.9722671508789062,2.5647644996643066,14.005090713500977,4.088387966156006,3.997641086578369,3.7983345985412598,4.129003047943115,4.3029093742370605,,2.6735101418831024,3.421508611357546,3.009722705001781,3.5030797,3.180058002471924,0.8866315484046936,1.291964054107666,2.4085326194763184,2.8350837230682373,2.866913080215454,4.0366597175598145,3.48636531829834,2.8072621822357178,0.31155618155212794,-0.0793318042923219,0.8576040424864284,0.57848763,1.0607891082763672,0.08563560247421265,1.2728004455566406,11.596558094024658,1.2533042430877686,1.130728006362915,-0.2383251190185547,0.6426377296447754,1.4956471920013428
soundspaces,none_speakerphone,D09_SSmp3d_left,Track2_Speakerphone/noisy/A100VV1V2XDQI7_M_Water_Near_Regular_SP_Mobile_Primary.wav,,,,3.232743187053752,3.503092185149496,4.118723810630121,3.7523487,4.279064655303955,0.9375589489936829,1.8868589401245117,13.867493629455566,3.6445226669311523,3.9442763328552246,4.115839958190918,3.6726572513580322,3.810729742050171,,2.0654263731195495,3.451851511899334,1.9200773143655494,2.5635026,4.005004405975342,0.8921433687210083,1.1526702642440796,7.0798187255859375,1.9018104076385498,1.2231507301330566,4.2726521492004395,3.7626211643218994,3.1684956550598145,1.1673168139342027,0.051240673250161795,2.1986464962645718,1.1888461,0.2740602493286133,0.04541558027267456,0.7341886758804321,6.787674903869629,1.7427122592926025,2.721125602722168,-0.15681219100952148,-0.08996391296386719,0.6422340869903564
soundspaces,none_speakerphone,D09_SSmp3d_left,Track2_Speakerphone/noisy/A12FTSX85NQ8N9_M_Creaky_Near_Regular_SP_Mobile_Primary.wav,,,,3.3980854766303463,3.6215522082369804,4.203913315117723,4.0129485,4.120258331298828,0.9876026511192322,3.3486781120300293,26.96321678161621,4.412378787994385,4.3424530029296875,4.40101432800293,4.178111553192139,4.452252388000488,,2.990189173577855,3.536166912793928,3.544551789486244,3.630857,4.157820224761963,0.9395605325698853,1.9081673622131348,17.868412017822266,3.8638412952423096,3.996884822845459,4.036055088043213,3.801750659942627,4.129764080047607,0.40789630305249114,0.08538529544305229,0.6593615256314789,0.38209152,-0.037561893463134766,0.048042118549346924,1.4405107498168945,9.094804763793945,0.5485374927520752,0.3455681800842285,0.3649592399597168,0.3763608932495117,0.32248830795288086
soundspaces,none_speakerphone,D09_SSmp3d_left,Track2_Speakerphone/noisy/A12FTSX85NQ8N9_M_Fan_Near_Regular_SP_Mobile_Primary.wav,,,,3.420795053533956,3.666075652217429,4.144013902299044,4.0504384,4.0398359298706055,0.9918137788772583,3.866331100463867,25.852935791015625,4.523873329162598,4.356846332550049,4.617892265319824,4.27555513381958,4.496021747589111,,3.2872690557606163,3.74831373061256,3.8180569018751136,3.560144,4.204663276672363,0.9892783164978027,2.7135009765625,19.071983337402344,3.4969639778137207,2.5686540603637695,4.005692481994629,4.003887176513672,3.9580819606781006,0.13352599777333962,-0.08223807839513064,0.32595700042393005,0.49029446,-0.1648273468017578,0.0025354623794555664,1.1528301239013672,6.780952453613281,1.026909351348877,1.7881922721862793,0.6121997833251953,0.2716679573059082,0.5379397869110107
soundspaces,none_speakerphone,D09_SSmp3d_left,Track2_Speakerphone/noisy/A12FTSX85NQ8N9_M_Water_Near_Regular_SP_Mobile_Primary.wav,,,,3.0488844198996454,3.493034356840799,3.666119741778564,3.8893511,3.6140122413635254,0.9764229655265808,3.0556607246398926,20.96541404724121,4.58258056640625,4.223430156707764,4.458749771118164,4.206082344055176,4.4120707511901855,,2.290849190007622,3.5301100962328227,2.0823534915258395,2.8260064,4.197393894195557,0.9622989296913147,1.5725815296173096,13.597640037536621,2.2360928058624268,1.5477173328399658,4.2276530265808105,3.8997273445129395,3.5365030765533447,0.7580352298920232,-0.0370757393920238,1.5837662502527246,1.0633447,-0.5833816528320312,0.014124035835266113,1.483079195022583,7.36777400970459,2.3464877605438232,2.675712823867798,0.23109674453735352,0.30635499954223633,0.8755676746368408
soundspaces,none_speakerphone,D09_SSmp3d_left,Track2_Speakerphone/noisy/A16GH5GPKBX5GA_M_Chips_Far_Regular_SP_Desk_Primary.wav,,,,2.361453475523207,2.750608942558827,3.793559133965786,3.6107821,3.0851826667785645,0.913122296333313,1.760770320892334,7.3008623123168945,2.9392268657684326,4.149159908294678,4.218197822570801,2.976041793823242,2.225773572921753,,2.057027826692578,2.973316453785732,2.1194850451575786,2.3628032,3.001282215118408,0.7894207835197449,1.174086570739746,3.199286460876465,1.5274409055709839,1.4093611240386963,3.6693031787872314,2.182246446609497,2.0056800842285156,0.30442564883062895,-0.22270751122690502,1.6740740888082075,1.2479789,0.08390045166015625,0.12370151281356812,0.5866837501525879,4.10157585144043,1.4117859601974487,2.7397987842559814,0.5488946437835693,0.7937953472137451,0.2200934886932373
soundspaces,none_speakerphone,D09_SSmp3d_left,Track2_Speakerphone/noisy/A16GH5GPKBX5GA_M_Clatter_Near_Regular_SP_Desk_Primary.wav,,,,2.1851714241754463,2.8216508044975472,3.302669368594894,3.404989,3.541788101196289,0.7792559862136841,1.3716267347335815,4.168560028076172,2.6511270999908447,3.712061643600464,3.9418716430664062,3.0800578594207764,1.9279485940933228,,1.1603595778903253,1.3754984496276086,1.2623289983331907,2.320206,2.839787483215332,0.6219502091407776,1.1251347064971924,-3.1902365684509277,1.609239935874939,1.8052655458450317,3.7400262355804443,2.2777554988861084,1.8670463562011719,1.024811846285121,1.4461523548699386,2.0403403702617036,1.0847831,0.702000617980957,0.1573057770729065,0.24649202823638916,7.3587965965271,1.0418871641159058,1.9067960977554321,0.20184540748596191,0.802302360534668,0.06090223789215088
