train_rirs,eval_rirs,model,speech,noise,rir,noisy_snr,dnsmos_ovrl_e,dnsmos_sig_e,dnsmos_bak_e,dnsmos_p808_e,squim_mos_e,squim_stoi_e,squim_pesq_e,squim_sisdr_e,nisqa_mos_e,nisqa_noi_e,nisqa_dis_e,nisqa_col_e,nisqa_loud_e,stoi_n,dnsmos_ovrl_n,dnsmos_sig_n,dnsmos_bak_n,dnsmos_p808_n,squim_mos_n,squim_stoi_n,squim_pesq_n,squim_sisdr_n,nisqa_mos_n,nisqa_noi_n,nisqa_dis_n,nisqa_col_n,nisqa_loud_n,dnsmos_ovrl_i,dnsmos_sig_i,dnsmos_bak_i,dnsmos_p808_i,squim_mos_i,squim_stoi_i,squim_pesq_i,squim_sisdr_i,nisqa_mos_i,nisqa_noi_i,nisqa_dis_i,nisqa_col_i,nisqa_loud_i
multiband,none_speakerphone,D02_mb_none_NH_mono,Track2_Speakerphone/noisy/A100VV1V2XDQI7_M_Door_Near_Regular_SP_Mobile_Primary.wav,,,,3.307169557910972,3.5476082506251427,4.174268192513276,3.9233828,3.9761624336242676,0.9684093594551086,3.0565176010131836,17.77838897705078,3.556490659713745,4.03037691116333,3.7215893268585205,3.546400308609009,4.077851295471191,,2.599073650528159,3.3360871728845276,3.098892884277211,3.2730339,4.3456926345825195,0.9267654418945312,1.5256202220916748,4.703902244567871,2.556082010269165,3.416330337524414,3.543940305709839,2.766286849975586,3.493866205215454,0.708095907382813,0.21152107774061513,1.0753753082360649,0.6503489,-0.36953020095825195,0.04164391756057739,1.5308973789215088,13.07448673248291,1.00040864944458,0.614046573638916,0.17764902114868164,0.7801134586334229,0.5839850902557373
multiband,none_speakerphone,D02_mb_none_NH_mono,Track2_Speakerphone/noisy/A100VV1V2XDQI7_M_Fan_Near_Regular_SP_Mobile_Primary.wav,,,,3.0965848489169967,3.32534799846379,4.122514635358599,3.321259,3.3032968044281006,0.8892247080802917,1.9910662174224854,10.649270057678223,3.1114180088043213,3.978760004043579,3.4378249645233154,2.3797905445098877,3.4762518405914307,,1.3774587534358413,2.05854665574726,1.529410619409195,2.5893843,2.604588747024536,0.7326107025146484,1.1053903102874756,-3.424328088760376,1.1182059049606323,1.0943574905395508,2.991971254348755,2.567221164703369,2.4402623176574707,1.7191260954811554,1.2668013427165303,2.5931040159494043,0.7318747,0.6987080574035645,0.1566140055656433,0.8856759071350098,14.073598146438599,1.993212103843689,2.8844025135040283,0.44585371017456055,-0.18743062019348145,1.03598952293396
multiband,none_speakerphone,D02_mb_none_NH_mono,Track2_Speakerphone/noisy/A100VV1V2XDQI7_M_InsideCar_Near_Regular_SP_Mobile_Primary.wav,,,,2.790150987476116,3.372782125207618,3.4426213949636155,3.8701684,4.537839889526367,0.9589745998382568,2.6370224952697754,16.14470100402832,3.5397629737854004,3.460747718811035,4.516803741455078,4.147622585296631,4.354642391204834,,2.1623476374060187,3.2970914018259454,2.162004974230338,2.818695,3.356616497039795,0.9566999077796936,2.2004799842834473,17.61019515991211,2.674548625946045,2.057053327560425,4.309429168701172,3.5933732986450195,3.193303108215332,0.6278033500700975,0.0756907233816726,1.2806164207332773,1.0514734,1.1812233924865723,0.0022746920585632324,0.4365425109863281,-1.465494155883789,0.8652143478393555,1.4036943912506104,0.20737457275390625,0.5542492866516113,1.161339282989502
multiband,none_speakerphone,D02_mb_none_NH_mono,Track2_Speakerphone/noisy/A100VV1V2XDQI7_M_Street_Near_Regular_SP_Mobile_Primary.wav,,,,3.217721784624992,3.5073783861522245,4.0393420068417365,4.0383596,4.420804500579834,0.9725426435470581,2.668025493621826,15.206133842468262,4.635663986206055,4.399092197418213,4.660636901855469,4.484426498413086,4.574375629425049,,2.6735101418831024,3.421508611357546,3.009722705001781,3.5030797,3.180058002471924,0.8866315484046936,1.291964054107666,2.4085326194763184,2.8350837230682373,2.866913080215454,4.0366597175598145,3.48636531829834,2.8072621822357178,0.5442116427418897,0.08586977479467839,1.0296193018399555,0.53528,1.2407464981079102,0.0859110951423645,1.3760614395141602,12.797601222991943,1.8005802631378174,1.5321791172027588,0.6239771842956543,0.9980611801147461,1.767113447189331
multiband,none_speakerphone,D02_mb_none_NH_mono,Track2_Speakerphone/noisy/A100VV1V2XDQI7_M_Water_Near_Regular_SP_Mobile_Primary.wav,,,,3.2509081687968555,3.50127817277869,4.1456411854331945,3.7648969,4.302967071533203,0.9490182995796204,2.0305004119873047,14.124874114990234,3.8218722343444824,4.061319351196289,4.285538673400879,3.8303816318511963,4.013801097869873,,2.0654263731195495,3.451851511899334,1.9200773143655494,2.5635026,4.005004405975342,0.8921433687210083,1.1526702642440796,7.0798187255859375,1.9018104076385498,1.2231507301330566,4.2726521492004395,3.7626211643218994,3.1684956550598145,1.185481795677306,0.0494266608793561,2.225563871067645,1.2013943,0.29796266555786133,0.05687493085861206,0.8778301477432251,7.045055389404297,1.9200618267059326,2.8381686210632324,0.012886524200439453,0.06776046752929688,0.8453054428100586
multiband,none_speakerphone,D02_mb_none_NH_mono,Track2_Speakerphone/noisy/A12FTSX85NQ8N9_M_Creaky_Near_Regular_SP_Mobile_Primary.wav,,,,3.327177535711703,3.55924069261299,4.161959884892845,3.947276,4.12877893447876,0.9884549379348755,3.5419888496398926,27.514293670654297,4.432260513305664,4.3177103996276855,4.4498443603515625,4.225052833557129,4.445302486419678,,2.990189173577855,3.536166912793928,3.544551789486244,3.630857,4.157820224761963,0.9395605325698853,1.9081673622131348,17.868412017822266,3.8638412952423096,3.996884822845459,4.036055088043213,3.801750659942627,4.129764080047607,0.33698836213384764,0.02307377981906189,0.6174080954066006,0.31641912,-0.029041290283203125,0.048894405364990234,1.6338214874267578,9.645881652832031,0.5684192180633545,0.32082557678222656,0.4137892723083496,0.42330217361450195,0.3155384063720703
multiband,none_speakerphone,D02_mb_none_NH_mono,Track2_Speakerphone/noisy/A12FTSX85NQ8N9_M_Fan_Near_Regular_SP_Mobile_Primary.wav,,,,3.419757761079319,3.6389058038200957,4.181514390196764,4.0934587,4.01329231262207,0.9905242323875427,3.7674307823181152,25.335905075073242,4.559911727905273,4.448654651641846,4.649752140045166,4.300865173339844,4.400465488433838,,3.2872690557606163,3.74831373061256,3.8180569018751136,3.560144,4.204663276672363,0.9892783164978027,2.7135009765625,19.071983337402344,3.4969639778137207,2.5686540603637695,4.005692481994629,4.003887176513672,3.9580819606781006,0.1324887053187025,-0.10940792679246414,0.36345748832165015,0.5333147,-0.19137096405029297,0.0012459158897399902,1.0539298057556152,6.263921737670898,1.0629477500915527,1.8800005912780762,0.6440596580505371,0.2969779968261719,0.4423835277557373
multiband,none_speakerphone,D02_mb_none_NH_mono,Track2_Speakerphone/noisy/A12FTSX85NQ8N9_M_Water_Near_Regular_SP_Mobile_Primary.wav,,,,3.142408348033847,3.519160981712291,3.809209401531171,4.053334,3.6044633388519287,0.9821344614028931,3.3060965538024902,21.956768035888672,4.663902282714844,4.191504001617432,4.443212509155273,4.236116886138916,4.403513431549072,,2.290849190007622,3.5301100962328227,2.0823534915258395,2.8260064,4.197393894195557,0.9622989296913147,1.5725815296173096,13.597640037536621,2.2360928058624268,1.5477173328399658,4.2276530265808105,3.8997273445129395,3.5365030765533447,0.851559158026225,-0.010949114520531822,1.7268559100053316,1.2273278,-0.5929305553436279,0.01983553171157837,1.7335150241851807,8.35912799835205,2.427809476852417,2.643786668777466,0.2155594825744629,0.33638954162597656,0.8670103549957275
multiband,none_speakerphone,D02_mb_none_NH_mono,Track2_Speakerphone/noisy/A16GH5GPKBX5GA_M_Chips_Far_Regular_SP_Desk_Primary.wav,,,,2.618488631782687,2.9235816814702087,4.060832482308279,3.8878734,3.055931806564331,0.9243062734603882,1.9878531694412231,11.367850303649902,3.1539876461029053,4.251831531524658,4.209995269775391,3.186645269393921,1.9765701293945312,,2.057027826692578,2.973316453785732,2.1194850451575786,2.3628032,3.001282215118408,0.7894207835197449,1.174086570739746,3.199286460876465,1.5274409055709839,1.4093611240386963,3.6693031787872314,2.182246446609497,2.0056800842285156,0.5614608050901091,-0.04973477231552348,1.9413474371507005,1.5250702,0.05464959144592285,0.1348854899406433,0.813766598701477,8.168563842773438,1.6265467405319214,2.842470407485962,0.5406920909881592,1.0043988227844238,-0.029109954833984375
multiband,none_speakerphone,D02_mb_none_NH_mono,Track2_Speakerphone/noisy/A16GH5GPKBX5GA_M_Clatter_Near_Regular_SP_Desk_Primary.wav,,,,2.2383035105584788,2.7214412191299573,3.752091338034681,3.3934977,3.551576614379883,0.7915459871292114,1.4359067678451538,4.87868595123291,2.9916555881500244,3.8456146717071533,3.853466749191284,3.212430477142334,2.3077380657196045,,1.1603595778903253,1.3754984496276086,1.2623289983331907,2.320206,2.839787483215332,0.6219502091407776,1.1251347064971924,-3.1902365684509277,1.609239935874939,1.8052655458450317,3.7400262355804443,2.2777554988861084,1.8670463562011719,1.0779439326681535,1.3459427695023487,2.4897623397014907,1.0732918,0.7117891311645508,0.16959577798843384,0.3107720613479614,8.068922519683838,1.3824156522750854,2.0403491258621216,0.11344051361083984,0.9346749782562256,0.4406917095184326
