train_rirs,eval_rirs,model,speech,noise,rir,noisy_snr,dnsmos_ovrl_e,dnsmos_sig_e,dnsmos_bak_e,dnsmos_p808_e,squim_mos_e,squim_stoi_e,squim_pesq_e,squim_sisdr_e,nisqa_mos_e,nisqa_noi_e,nisqa_dis_e,nisqa_col_e,nisqa_loud_e,stoi_n,dnsmos_ovrl_n,dnsmos_sig_n,dnsmos_bak_n,dnsmos_p808_n,squim_mos_n,squim_stoi_n,squim_pesq_n,squim_sisdr_n,nisqa_mos_n,nisqa_noi_n,nisqa_dis_n,nisqa_col_n,nisqa_loud_n,dnsmos_ovrl_i,dnsmos_sig_i,dnsmos_bak_i,dnsmos_p808_i,squim_mos_i,squim_stoi_i,squim_pesq_i,squim_sisdr_i,nisqa_mos_i,nisqa_noi_i,nisqa_dis_i,nisqa_col_i,nisqa_loud_i
recdirectivity,none_speakerphone,D03_mb_rec_NH_left,Track2_Speakerphone/noisy/A100VV1V2XDQI7_M_Door_Near_Regular_SP_Mobile_Primary.wav,,,,3.357204651729706,3.6031100719919342,4.182180678322576,3.9330502,4.0291852951049805,0.9718886613845825,2.9732093811035156,17.67266845703125,3.7249958515167236,4.03776741027832,3.9908559322357178,3.7142386436462402,4.141870021820068,,2.599073650528159,3.3360871728845276,3.098892884277211,3.2730339,4.3456926345825195,0.9267654418945312,1.5256202220916748,4.703902244567871,2.556082010269165,3.416330337524414,3.543940305709839,2.766286849975586,3.493866205215454,0.758131001201547,0.2670228991074066,1.0832877940453645,0.6600163,-0.31650733947753906,0.04512321949005127,1.4475891590118408,12.968766212463379,1.1689138412475586,0.6214370727539062,0.4469156265258789,0.9479517936706543,0.6480038166046143
recdirectivity,none_speakerphone,D03_mb_rec_NH_left,Track2_Speakerphone/noisy/A100VV1V2XDQI7_M_Fan_Near_Regular_SP_Mobile_Primary.wav,,,,2.9689972275133516,3.218697349134044,4.065717601913558,3.1557288,3.0829670429229736,0.8774794340133667,1.8776710033416748,8.703177452087402,2.322566509246826,4.034885406494141,3.119245767593384,2.1967833042144775,2.700239419937134,,1.3774587534358413,2.05854665574726,1.529410619409195,2.5893843,2.604588747024536,0.7326107025146484,1.1053903102874756,-3.424328088760376,1.1182059049606323,1.0943574905395508,2.991971254348755,2.567221164703369,2.4402623176574707,1.5915384740775103,1.1601506933867842,2.5363069825043634,0.5663445,0.4783782958984375,0.14486873149871826,0.7722806930541992,12.127505540847778,1.2043606042861938,2.94052791595459,0.1272745132446289,-0.3704378604888916,0.2599771022796631
recdirectivity,none_speakerphone,D03_mb_rec_NH_left,Track2_Speakerphone/noisy/A100VV1V2XDQI7_M_InsideCar_Near_Regular_SP_Mobile_Primary.wav,,,,3.0710438063499965,3.394530398285949,3.9087977489228916,3.9200065,4.497442245483398,0.9570074677467346,2.730489730834961,14.970711708068848,4.292078495025635,4.266078948974609,4.6059489250183105,4.155526161193848,4.438721179962158,,2.1623476374060187,3.2970914018259454,2.162004974230338,2.818695,3.356616497039795,0.9566999077796936,2.2004799842834473,17.61019515991211,2.674548625946045,2.057053327560425,4.309429168701172,3.5933732986450195,3.193303108215332,0.9086961689439779,0.09743899646000376,1.7467927746925533,1.1013114,1.1408257484436035,0.0003075599670410156,0.5300097465515137,-2.6394834518432617,1.6175298690795898,2.2090256214141846,0.29651975631713867,0.5621528625488281,1.2454180717468262
recdirectivity,none_speakerphone,D03_mb_rec_NH_left,Track2_Speakerphone/noisy/A100VV1V2XDQI7_M_Street_Near_Regular_SP_Mobile_Primary.wav,,,,3.280875206324098,3.537955646221999,4.096092777339855,4.0463376,4.399569511413574,0.967807948589325,2.5340805053710938,12.614355087280273,4.570651054382324,4.1952338218688965,4.5824785232543945,4.449833869934082,4.569292068481445,,2.6735101418831024,3.421508611357546,3.009722705001781,3.5030797,3.180058002471924,0.8866315484046936,1.291964054107666,2.4085326194763184,2.8350837230682373,2.866913080215454,4.0366597175598145,3.48636531829834,2.8072621822357178,0.6073650644409954,0.11644703486445307,1.0863700723380743,0.54325795,1.2195115089416504,0.08117640018463135,1.2421164512634277,10.205822467803955,1.735567331314087,1.3283207416534424,0.5458188056945801,0.9634685516357422,1.7620298862457275
recdirectivity,none_speakerphone,D03_mb_rec_NH_left,Track2_Speakerphone/noisy/A100VV1V2XDQI7_M_Water_Near_Regular_SP_Mobile_Primary.wav,,,,3.1714274579224653,3.492148997486887,4.014765525625391,3.6307611,4.286490440368652,0.9313241243362427,1.960493564605713,12.482165336608887,3.7902281284332275,3.850754737854004,4.270084381103516,3.9814767837524414,4.0019683837890625,,2.0654263731195495,3.451851511899334,1.9200773143655494,2.5635026,4.005004405975342,0.8921433687210083,1.1526702642440796,7.0798187255859375,1.9018104076385498,1.2231507301330566,4.2726521492004395,3.7626211643218994,3.1684956550598145,1.1060010848029158,0.040297485587553084,2.0946882112598413,1.0672586,0.28148603439331055,0.039180755615234375,0.8078233003616333,5.402346611022949,1.8884177207946777,2.6276040077209473,-0.002567768096923828,0.218855619430542,0.833472728729248
recdirectivity,none_speakerphone,D03_mb_rec_NH_left,Track2_Speakerphone/noisy/A12FTSX85NQ8N9_M_Creaky_Near_Regular_SP_Mobile_Primary.wav,,,,3.2806619396740446,3.543910614094435,4.118724468605747,3.9737155,4.205413818359375,0.9829640984535217,3.097954750061035,26.20734405517578,4.3989787101745605,4.297490119934082,4.350474834442139,4.162520885467529,4.454103946685791,,2.990189173577855,3.536166912793928,3.544551789486244,3.630857,4.157820224761963,0.9395605325698853,1.9081673622131348,17.868412017822266,3.8638412952423096,3.996884822845459,4.036055088043213,3.801750659942627,4.129764080047607,0.29047276609618944,0.007743701300507055,0.5741726791195032,0.34285855,0.04759359359741211,0.043403565883636475,1.1897873878479004,8.338932037353516,0.535137414932251,0.30060529708862305,0.3144197463989258,0.36077022552490234,0.3243398666381836
recdirectivity,none_speakerphone,D03_mb_rec_NH_left,Track2_Speakerphone/noisy/A12FTSX85NQ8N9_M_Fan_Near_Regular_SP_Mobile_Primary.wav,,,,3.34995546286375,3.594343323048464,4.12430955295135,4.165876,4.0703043937683105,0.9905605912208557,3.5695369243621826,24.157306671142578,4.690831184387207,4.5390238761901855,4.666042327880859,4.41077184677124,4.580268859863281,,3.2872690557606163,3.74831373061256,3.8180569018751136,3.560144,4.204663276672363,0.9892783164978027,2.7135009765625,19.071983337402344,3.4969639778137207,2.5686540603637695,4.005692481994629,4.003887176513672,3.9580819606781006,0.06268640710313367,-0.15397040756409597,0.3062526510762362,0.60573196,-0.13435888290405273,0.0012822747230529785,0.8560359477996826,5.085323333740234,1.1938672065734863,1.970369815826416,0.6603498458862305,0.40688467025756836,0.6221868991851807
recdirectivity,none_speakerphone,D03_mb_rec_NH_left,Track2_Speakerphone/noisy/A12FTSX85NQ8N9_M_Water_Near_Regular_SP_Mobile_Primary.wav,,,,3.2052599637027988,3.5792988216559296,3.7971328553873542,3.9912713,3.3935840129852295,0.9824458360671997,3.13578724861145,21.672611236572266,4.679404258728027,4.27633810043335,4.48635721206665,4.275446891784668,4.454972267150879,,2.290849190007622,3.5301100962328227,2.0823534915258395,2.8260064,4.197393894195557,0.9622989296913147,1.5725815296173096,13.597640037536621,2.2360928058624268,1.5477173328399658,4.2276530265808105,3.8997273445129395,3.5365030765533447,0.9144107736951765,0.04918872542310693,1.7147793638615147,1.1652648,-0.8038098812103271,0.02014690637588501,1.5632057189941406,8.074971199035645,2.4433114528656006,2.728620767593384,0.25870418548583984,0.3757195472717285,0.9184691905975342
recdirectivity,none_speakerphone,D03_mb_rec_NH_left,Track2_Speakerphone/noisy/A16GH5GPKBX5GA_M_Chips_Far_Regular_SP_Desk_Primary.wav,,,,2.559146098463592,2.864337560839402,4.037764262247509,3.7094579,3.0262556076049805,0.9038697481155396,1.9668431282043457,10.724231719970703,2.874704122543335,4.198908805847168,3.8978922367095947,2.992216110229492,2.1906678676605225,,2.057027826692578,2.973316453785732,2.1194850451575786,2.3628032,3.001282215118408,0.7894207835197449,1.174086570739746,3.199286460876465,1.5274409055709839,1.4093611240386963,3.6693031787872314,2.182246446609497,2.0056800842285156,0.502118271771014,-0.10897889294633023,1.9182792170899305,1.3466547,0.024973392486572266,0.11444896459579468,0.7927565574645996,7.524945259094238,1.347263216972351,2.7895476818084717,0.22858905792236328,0.8099696636199951,0.18498778343200684
recdirectivity,none_speakerphone,D03_mb_rec_NH_left,Track2_Speakerphone/noisy/A16GH5GPKBX5GA_M_Clatter_Near_Regular_SP_Desk_Primary.wav,,,,2.3300714647598544,2.823029375780593,3.7635138035859077,3.5224113,3.4695701599121094,0.7686839699745178,1.4145973920822144,2.8364689350128174,2.949834108352661,3.9750428199768066,3.7929999828338623,3.1109726428985596,2.197434902191162,,1.1603595778903253,1.3754984496276086,1.2623289983331907,2.320206,2.839787483215332,0.6219502091407776,1.1251347064971924,-3.1902365684509277,1.609239935874939,1.8052655458450317,3.7400262355804443,2.2777554988861084,1.8670463562011719,1.169711886869529,1.4475309261529843,2.5011848052527172,1.2022054,0.6297826766967773,0.14673376083374023,0.289462685585022,6.026705503463745,1.3405941724777222,2.169777274131775,0.05297374725341797,0.8332171440124512,0.33038854598999023
